title,Token,stopword,stemmed,label
tetap nikmat santap daging kurban tanpa khawatir kolesterol,"['tetap', 'nikmat', 'santap', 'daging', 'kurban', 'tanpa', 'khawatir', 'kolesterol']","['nikmat', 'santap', 'daging', 'kurban', 'khawatir', 'kolesterol']",nikmat santap daging kurban khawatir kolesterol,1
semarak pelajar kota bandung sambut tahun ajaran 2022/23,"['semarak', 'pelajar', 'kota', 'bandung', 'sambut', 'tahun', 'ajaran', '2022', '/', '23']","['semarak', 'pelajar', 'kota', 'sambut', 'ajaran', '2022', '/', '23']",semarak ajar kota sambut ajar 2022  23,1
tambah ruang publik pemkot bandung resmikan ciko arena 1,"['tambah', 'ruang', 'publik', 'pemkot', 'bandung', 'resmikan', 'ciko', 'arena', '1']","['ruang', 'publik', 'pemkot', 'resmikan', 'ciko', 'arena', '1']",ruang publik pemkot resmi ciko arena 1,1
dkpp kota bandung musnahkan lebih dari 369 kg jeroan sapi dan domba kurban,"['dkpp', 'kota', 'bandung', 'musnahkan', 'lebih', 'dari', '369', 'kg', 'jeroan', 'sapi', 'dan', 'domba', 'kurban']","['dkpp', 'kota', 'musnahkan', '369', 'kg', 'jeroan', 'sapi', 'domba', 'kurban']",dkpp kota musnah 369 kg jeroan sapi domba kurban,2
zero apbd kolaborasi jadi solusi sosial ekonomi kelurahan tamansari,"['zero', 'apbd', 'kolaborasi', 'jadi', 'solusi', 'sosial', 'ekonomi', 'kelurahan', 'tamansari']","['zero', 'apbd', 'kolaborasi', 'solusi', 'sosial', 'ekonomi', 'kelurahan', 'tamansari']",zero apbd kolaborasi solusi sosial ekonomi lurah tamansari,0
kangen pantai ini kafe bernuansa pantai di kota bandung,"['kangen', 'pantai', 'ini', 'kafe', 'bernuansa', 'pantai', 'di', 'kota', 'bandung']","['kangen', 'pantai', 'kafe', 'bernuansa', 'pantai', 'kota']",kangen pantai kafe nuansa pantai kota,0
anak muda bandung harus jadi humas bagi gerakan generasi berencana,"['anak', 'muda', 'bandung', 'harus', 'jadi', 'humas', 'bagi', 'gerakan', 'generasi', 'berencana']","['anak', 'muda', 'humas', 'gerakan', 'generasi', 'berencana']",anak muda humas gera generasi rencana,1
iduladha 1443 h pemkot bandung tebar 45 sapi dan 100 domba,"['iduladha', '1443', 'h', 'pemkot', 'bandung', 'tebar', '45', 'sapi', 'dan', '100', 'domba']","['iduladha', '1443', 'h', 'pemkot', 'tebar', '45', 'sapi', '100', 'domba']",iduladha 1443 h pemkot tebar 45 sapi 100 domba,1
ingin sensasi memetik jeruk jepang yuk ke mupu jeruk,"['ingin', 'sensasi', 'memetik', 'jeruk', 'jepang', 'yuk', 'ke', 'mupu', 'jeruk']","['sensasi', 'memetik', 'jeruk', 'jepang', 'yuk', 'mupu', 'jeruk']",sensasi petik jeruk jepang yuk mupu jeruk,0
pisah sambut dansektor 22 citarum harum yana ajak tingkatkan kolaborasi,"['pisah', 'sambut', 'dansektor', '22', 'citarum', 'harum', 'yana', 'ajak', 'tingkatkan', 'kolaborasi']","['pisah', 'sambut', 'dansektor', '22', 'citarum', 'harum', 'yana', 'ajak', 'tingkatkan', 'kolaborasi']",pisah sambut dansektor 22 citarum harum yana ajak tingkat kolaborasi,1
kadeudeuh untuk juara mtq yana pembinaan kami berkelanjutan,"['kadeudeuh', 'untuk', 'juara', 'mtq', 'yana', 'pembinaan', 'kami', 'berkelanjutan']","['kadeudeuh', 'juara', 'mtq', 'yana', 'pembinaan', 'berkelanjutan']",kadeudeuh juara mtq yana bina lanjut,1
kota bandung masuk top 5 daerah yang aktif mempublikasikan vaksinasi,"['kota', 'bandung', 'masuk', 'top', '5', 'daerah', 'yang', 'aktif', 'mempublikasikan', 'vaksinasi']","['kota', 'masuk', 'top', '5', 'daerah', 'aktif', 'mempublikasikan', 'vaksinasi']",kota masuk top 5 daerah aktif publikasi vaksinasi,1
ema pengolahan sampah di kota bandung tunjukkan tren positif,"['ema', 'pengolahan', 'sampah', 'di', 'kota', 'bandung', 'tunjukkan', 'tren', 'positif']","['ema', 'pengolahan', 'sampah', 'kota', 'tunjukkan', 'tren', 'positif']",ema olah sampah kota tunjuk tren positif,1
habiskan liburan sekolah yuk belajar sejarah di museum kota bandung,"['habiskan', 'liburan', 'sekolah', 'yuk', 'belajar', 'sejarah', 'di', 'museum', 'kota', 'bandung']","['habiskan', 'liburan', 'sekolah', 'yuk', 'belajar', 'sejarah', 'museum', 'kota']",habis libur sekolah yuk ajar sejarah museum kota,0
ispa dan diare ancam kesehatan di musim pancaroba,"['ispa', 'dan', 'diare', 'ancam', 'kesehatan', 'di', 'musim', 'pancaroba']","['ispa', 'diare', 'ancam', 'kesehatan', 'musim', 'pancaroba']",ispa diare ancam sehat musim pancaroba,2
ingin bersantai yuk kunjungi tiga taman di pusat kota bandung,"['ingin', 'bersantai', 'yuk', 'kunjungi', 'tiga', 'taman', 'di', 'pusat', 'kota', 'bandung']","['bersantai', 'yuk', 'kunjungi', 'taman', 'pusat', 'kota']",santa yuk kunjung taman pusat kota,0
sasar zilenilal dppkb kota bandung kemas hari keluarga nasional lewat acara festival,"['sasar', 'zilenilal', 'dppkb', 'kota', 'bandung', 'kemas', 'hari', 'keluarga', 'nasional', 'lewat', 'acara', 'festival']","['sasar', 'zilenilal', 'dppkb', 'kota', 'kemas', 'keluarga', 'nasional', 'acara', 'festival']",sasar zilenilal dppkb kota kemas keluarga nasional acara festival,1
#satsetsatset akselerasi program wali kota bandung bentuk tim percepatan pembangunan,"['#', 'satsetsatset', 'akselerasi', 'program', 'wali', 'kota', 'bandung', 'bentuk', 'tim', 'percepatan', 'pembangunan']","['#', 'satsetsatset', 'akselerasi', 'program', 'wali', 'kota', 'bentuk', 'tim', 'percepatan', 'pembangunan']", satsetsatset akselerasi program wali kota bentuk tim cepat bangun,1
masih kurang dari kuota disdik kota bandung akan kembali buka ppdb online,"['masih', 'kurang', 'dari', 'kuota', 'disdik', 'kota', 'bandung', 'akan', 'kembali', 'buka', 'ppdb', 'online']","['kuota', 'disdik', 'kota', 'buka', 'ppdb', 'online']",kuota disdik kota buka ppdb online,0
kota bandung siap jadi tuan rumah liga ibl playoff musim 2022,"['kota', 'bandung', 'siap', 'jadi', 'tuan', 'rumah', 'liga', 'ibl', 'playoff', 'musim', '2022']","['kota', 'tuan', 'rumah', 'liga', 'ibl', 'playoff', 'musim', '2022']",kota tuan rumah liga ibl playoff musim 2022,1
serunya pameran inovasi otomotif di kiara artha park datang yuk,"['serunya', 'pameran', 'inovasi', 'otomotif', 'di', 'kiara', 'artha', 'park', 'datang', 'yuk']","['serunya', 'pameran', 'inovasi', 'otomotif', 'kiara', 'artha', 'park', 'yuk']",seru pamer inovasi otomotif kiara artha park yuk,0
rph ciroyom peninggalan belanda yang masih berfungsi hingga saat ini,"['rph', 'ciroyom', 'peninggalan', 'belanda', 'yang', 'masih', 'berfungsi', 'hingga', 'saat', 'ini']","['rph', 'ciroyom', 'peninggalan', 'belanda', 'berfungsi']",rph ciroyom tinggal belanda fungsi,0
serunya berburu kuliner hingga fesyen di trademark market 2022,"['serunya', 'berburu', 'kuliner', 'hingga', 'fesyen', 'di', 'trademark', 'market', '2022']","['serunya', 'berburu', 'kuliner', 'fesyen', 'trademark', 'market', '2022']",seru buru kuliner fesyen trademark market 2022,0
antusias orang tua murid sambut tahun ajaran baru,"['antusias', 'orang', 'tua', 'murid', 'sambut', 'tahun', 'ajaran', 'baru']","['antusias', 'orang', 'tua', 'murid', 'sambut', 'ajaran']",antusias orang tua murid sambut ajar,1
percepat vaksinasi booster pemkot bandung gandeng kampus hingga tempat wisata,"['percepat', 'vaksinasi', 'booster', 'pemkot', 'bandung', 'gandeng', 'kampus', 'hingga', 'tempat', 'wisata']","['percepat', 'vaksinasi', 'booster', 'pemkot', 'gandeng', 'kampus', 'wisata']",cepat vaksinasi booster pemkot gandeng kampus wisata,1
selfie di dalam pasar tradisional yuk ke pasar kosambi,"['selfie', 'di', 'dalam', 'pasar', 'tradisional', 'yuk', 'ke', 'pasar', 'kosambi']","['selfie', 'pasar', 'tradisional', 'yuk', 'pasar', 'kosambi']",selfie pasar tradisional yuk pasar kosambi,0
rumah seni ropih pelopor penjual lukisan di braga,"['rumah', 'seni', 'ropih', 'pelopor', 'penjual', 'lukisan', 'di', 'braga']","['rumah', 'seni', 'ropih', 'pelopor', 'penjual', 'lukisan', 'braga']",rumah seni ropih pelopor jual lukis braga,1
pemkot bandung pastikan taman kota dalam kondisi terpelihara,"['pemkot', 'bandung', 'pastikan', 'taman', 'kota', 'dalam', 'kondisi', 'terpelihara']","['pemkot', 'pastikan', 'taman', 'kota', 'kondisi', 'terpelihara']",pemkot pasti taman kota kondisi pelihara,1
kota bandung bahas sister city dengan gumi dan gimcheon korsel,"['kota', 'bandung', 'bahas', 'sister', 'city', 'dengan', 'gumi', 'dan', 'gimcheon', 'korsel']","['kota', 'bahas', 'sister', 'city', 'gumi', 'gimcheon', 'korsel']",kota bahas sister city gum gimcheon korsel,1
toko kelom geulis keng alas kaki yang tak lekang waktu,"['toko', 'kelom', 'geulis', 'keng', 'alas', 'kaki', 'yang', 'tak', 'lekang', 'waktu']","['toko', 'kelom', 'geulis', 'keng', 'alas', 'kaki', 'lekang']",toko kelom geulis keng alas kaki lekang,0
pemkot bandung dan bssn teken kerja sama pemanfaatan sertifikat elektronik,"['pemkot', 'bandung', 'dan', 'bssn', 'teken', 'kerja', 'sama', 'pemanfaatan', 'sertifikat', 'elektronik']","['pemkot', 'bssn', 'teken', 'kerja', 'pemanfaatan', 'sertifikat', 'elektronik']",pemkot bssn teken kerja manfaat sertifikat elektronik,1
kolaborasi bangkitkan braga dari dampak pandemi covid-19,"['kolaborasi', 'bangkitkan', 'braga', 'dari', 'dampak', 'pandemi', 'covid', '-', '19']","['kolaborasi', 'bangkitkan', 'braga', 'dampak', 'pandemi', 'covid', '-', '19']",kolaborasi bangkit braga dampak pandemi covid - 19,1
taman super hero ini sejumlah fakta menarik yang perlu diketahui,"['taman', 'super', 'hero', 'ini', 'sejumlah', 'fakta', 'menarik', 'yang', 'perlu', 'diketahui']","['taman', 'super', 'hero', 'fakta', 'menarik']",taman super hero fakta tarik,0
kejar target kelurahan mulai invetarisasi ptsl 2023,"['kejar', 'target', 'kelurahan', 'mulai', 'invetarisasi', 'ptsl', '2023']","['kejar', 'target', 'kelurahan', 'invetarisasi', 'ptsl', '2023']",kejar target lurah invetarisasi ptsl 2023,1
pemkot bandung targetkan vaksin booster capai 50 persen di akhir agustus,"['pemkot', 'bandung', 'targetkan', 'vaksin', 'booster', 'capai', '50', 'persen', 'di', 'akhir', 'agustus']","['pemkot', 'targetkan', 'vaksin', 'booster', 'capai', '50', 'persen', 'agustus']",pemkot target vaksin booster capai 50 persen agustus,1
rancang 8 program prioritas pemkot bandung bakal anggarkan rp58 triliun,"['rancang', '8', 'program', 'prioritas', 'pemkot', 'bandung', 'bakal', 'anggarkan', 'rp58', 'triliun']","['rancang', '8', 'program', 'prioritas', 'pemkot', 'anggarkan', 'rp58', 'triliun']",rancang 8 program prioritas pemkot anggar rp58 triliun,1
mpls dan ptm sekolah di kota bandung berlangsung 100 persen,"['mpls', 'dan', 'ptm', 'sekolah', 'di', 'kota', 'bandung', 'berlangsung', '100', 'persen']","['mpls', 'ptm', 'sekolah', 'kota', '100', 'persen']",mpls ptm sekolah kota 100 persen,0
musim pancaroba waspadai 5 penyakit yang rentan terjadi,"['musim', 'pancaroba', 'waspadai', '5', 'penyakit', 'yang', 'rentan', 'terjadi']","['musim', 'pancaroba', 'waspadai', '5', 'penyakit', 'rentan']",musim pancaroba waspada 5 sakit rentan,2
aturan baru masuk mal di kota bandung berikut ini penjelasannya,"['aturan', 'baru', 'masuk', 'mal', 'di', 'kota', 'bandung', 'berikut', 'ini', 'penjelasannya']","['aturan', 'masuk', 'mal', 'kota', 'penjelasannya']",atur masuk mal kota jelas,0
tekankan booster yana jika kita turun ke ppkm level 2 semua kena rugi,"['tekankan', 'booster', 'yana', 'jika', 'kita', 'turun', 'ke', 'ppkm', 'level', '2', 'semua', 'kena', 'rugi']","['tekankan', 'booster', 'yana', 'turun', 'ppkm', 'level', '2', 'kena', 'rugi']",tekan booster yana turun ppkm level 2 kena rugi,1
salat iduladha berjemaah di masjid bisa 100 persen,"['salat', 'iduladha', 'berjemaah', 'di', 'masjid', 'bisa', '100', 'persen']","['salat', 'iduladha', 'berjemaah', 'masjid', '100', 'persen']",salat iduladha jemaah masjid 100 persen,0
kepala disdik kota bandung mpls tumbuhkan kreativitas siswa baru,"['kepala', 'disdik', 'kota', 'bandung', 'mpls', 'tumbuhkan', 'kreativitas', 'siswa', 'baru']","['kepala', 'disdik', 'kota', 'mpls', 'tumbuhkan', 'kreativitas', 'siswa']",kepala disdik kota mpls tumbuh kreativitas siswa,1
yuk manfaatkan program pemutihan pajak kendaraan hingga 31 agustus,"['yuk', 'manfaatkan', 'program', 'pemutihan', 'pajak', 'kendaraan', 'hingga', '31', 'agustus']","['yuk', 'manfaatkan', 'program', 'pemutihan', 'pajak', 'kendaraan', '31', 'agustus']",yuk manfaat program mutih pajak kendara 31 agustus,0
pemkot bandung terus akselerasi sertifikasi tanah tempat ibadah,"['pemkot', 'bandung', 'terus', 'akselerasi', 'sertifikasi', 'tanah', 'tempat', 'ibadah']","['pemkot', 'akselerasi', 'sertifikasi', 'tanah', 'ibadah']",pemkot akselerasi sertifikasi tanah ibadah,1
pandemi covid-19 mereda pelaku usaha kuliner mulai menggeliat,"['pandemi', 'covid', '-', '19', 'mereda', 'pelaku', 'usaha', 'kuliner', 'mulai', 'menggeliat']","['pandemi', 'covid', '-', '19', 'mereda', 'pelaku', 'usaha', 'kuliner', 'menggeliat']",pandemi covid - 19 reda laku usaha kuliner geliat,1
buruan sae kecamatan ujungberung bantu ekonomi warga,"['buruan', 'sae', 'kecamatan', 'ujungberung', 'bantu', 'ekonomi', 'warga']","['buruan', 'sae', 'kecamatan', 'ujungberung', 'bantu', 'ekonomi', 'warga']",buru sae camat ujungberung bantu ekonomi warga,1
canggih layanan administrasi kependudukan kota bandung siap go digital,"['canggih', 'layanan', 'administrasi', 'kependudukan', 'kota', 'bandung', 'siap', 'go', 'digital']","['canggih', 'layanan', 'administrasi', 'kependudukan', 'kota', 'go', 'digital']",canggih layan administrasi duduk kota go digital,1
dukung mpls wali siswa sdn 172 andir kidul ikut upacara bersama,"['dukung', 'mpls', 'wali', 'siswa', 'sdn', '172', 'andir', 'kidul', 'ikut', 'upacara', 'bersama']","['dukung', 'mpls', 'wali', 'siswa', 'sdn', '172', 'andir', 'kidul', 'upacara']",dukung mpls wali siswa sdn 172 andir kidul upacara,1
kecamatan rancasari dukung umkm miliki nib dan pirt,"['kecamatan', 'rancasari', 'dukung', 'umkm', 'miliki', 'nib', 'dan', 'pirt']","['kecamatan', 'rancasari', 'dukung', 'umkm', 'miliki', 'nib', 'pirt']",camat rancasari dukung umkm milik nib pirt,1
cegah pmk jangan satukan daging dan jeroan dalam satu wadah,"['cegah', 'pmk', 'jangan', 'satukan', 'daging', 'dan', 'jeroan', 'dalam', 'satu', 'wadah']","['cegah', 'pmk', 'satukan', 'daging', 'jeroan', 'wadah']",cegah pmk satu daging jeroan wadah,0
jelang iduladha pemkot bandung telah periksa 8331 hewan kurban,"['jelang', 'iduladha', 'pemkot', 'bandung', 'telah', 'periksa', '8331', 'hewan', 'kurban']","['jelang', 'iduladha', 'pemkot', 'periksa', '8331', 'hewan', 'kurban']",jelang iduladha pemkot periksa 8331 hewan kurban,1
co-working space rancasari pusat umkm naikkan level marketing,"['co', '-', 'working', 'space', 'rancasari', 'pusat', 'umkm', 'naikkan', 'level', 'marketing']","['co', '-', 'working', 'space', 'rancasari', 'pusat', 'umkm', 'naikkan', 'level', 'marketing']",co - working space rancasari pusat umkm naik level marketing,1
gudang insan kreatif ini 3 jagoan subsektor ekraf kota bandung,"['gudang', 'insan', 'kreatif', 'ini', '3', 'jagoan', 'subsektor', 'ekraf', 'kota', 'bandung']","['gudang', 'insan', 'kreatif', '3', 'jagoan', 'subsektor', 'ekraf', 'kota']",gudang insan kreatif 3 jago subsektor ekraf kota,1
ngobras puspaga yunimar ajak para ibu melek isu keluarga,"['ngobras', 'puspaga', 'yunimar', 'ajak', 'para', 'ibu', 'melek', 'isu', 'keluarga']","['ngobras', 'puspaga', 'yunimar', 'ajak', 'melek', 'isu', 'keluarga']",ngobras puspaga yunimar ajak melek isu keluarga,1
wakil ketua dprd kota bandung ade supriadi wafat yana berduka,"['wakil', 'ketua', 'dprd', 'kota', 'bandung', 'ade', 'supriadi', 'wafat', 'yana', 'berduka']","['wakil', 'ketua', 'dprd', 'kota', 'ade', 'supriadi', 'wafat', 'yana', 'berduka']",wakil ketua dprd kota ade supriadi wafat yana duka,2
pemkot bandung bersama kodim 0618/bs salurkan 2200 dus minyak goreng curah,"['pemkot', 'bandung', 'bersama', 'kodim', '0618', '/', 'bs', 'salurkan', '2200', 'dus', 'minyak', 'goreng', 'curah']","['pemkot', 'kodim', '0618', '/', 'bs', 'salurkan', '2200', 'dus', 'minyak', 'goreng', 'curah']",pemkot kodim 0618  bs salur 2200 dus minyak goreng curah,1
sosok di balik seramnya valak terdapat kisah inspiratif,"['sosok', 'di', 'balik', 'seramnya', 'valak', 'terdapat', 'kisah', 'inspiratif']","['sosok', 'seramnya', 'valak', 'kisah', 'inspiratif']",sosok seram valak kisah inspiratif,1
pemkot bandung seriusi bpjs ketenagakerjaan bagi non-asn,"['pemkot', 'bandung', 'seriusi', 'bpjs', 'ketenagakerjaan', 'bagi', 'non', '-', 'asn']","['pemkot', 'seriusi', 'bpjs', 'ketenagakerjaan', 'non', '-', 'asn']",pemkot serius bpjs ketenagakerjaan non - asn,1
pemkot bandung sebarkan 100 ekor kambing dan 45 ekor sapi kurban,"['pemkot', 'bandung', 'sebarkan', '100', 'ekor', 'kambing', 'dan', '45', 'ekor', 'sapi', 'kurban']","['pemkot', 'sebarkan', '100', 'ekor', 'kambing', '45', 'ekor', 'sapi', 'kurban']",pemkot sebar 100 ekor kambing 45 ekor sapi kurban,1
turnemen sepak bola wanita piala wali kota bandung yana kita berpotensi,"['turnemen', 'sepak', 'bola', 'wanita', 'piala', 'wali', 'kota', 'bandung', 'yana', 'kita', 'berpotensi']","['turnemen', 'sepak', 'bola', 'wanita', 'piala', 'wali', 'kota', 'yana', 'berpotensi']",turnemen sepak bola wanita piala wali kota yana potensi,1
keren pemkot bandung raih tiga penghargaan manajemen asn dari bkn,"['keren', 'pemkot', 'bandung', 'raih', 'tiga', 'penghargaan', 'manajemen', 'asn', 'dari', 'bkn']","['keren', 'pemkot', 'raih', 'penghargaan', 'manajemen', 'asn', 'bkn']",keren pemkot raih harga manajemen asn bkn,1
makanan yang wajib dicoba ketika berkuliah di kawasan cibiru,"['makanan', 'yang', 'wajib', 'dicoba', 'ketika', 'berkuliah', 'di', 'kawasan', 'cibiru']","['makanan', 'wajib', 'dicoba', 'berkuliah', 'kawasan', 'cibiru']",makan wajib coba kuliah kawasan cibiru,0
hujan meteor bakal lintasi langit kota bandung juli ini,"['hujan', 'meteor', 'bakal', 'lintasi', 'langit', 'kota', 'bandung', 'juli', 'ini']","['hujan', 'meteor', 'lintasi', 'langit', 'kota', 'juli']",hujan meteor lintas langit kota juli,2
tim penggerak pkk kota bandung bagikan kurban untuk anak yatim,"['tim', 'penggerak', 'pkk', 'kota', 'bandung', 'bagikan', 'kurban', 'untuk', 'anak', 'yatim']","['tim', 'penggerak', 'pkk', 'kota', 'bagikan', 'kurban', 'anak', 'yatim']",tim gerak pkk kota bagi kurban anak yatim,1
wali kota bandung ingatkan taat prokes saat mpls dan ptm,"['wali', 'kota', 'bandung', 'ingatkan', 'taat', 'prokes', 'saat', 'mpls', 'dan', 'ptm']","['wali', 'kota', 'ingatkan', 'taat', 'prokes', 'mpls', 'ptm']",wali kota ingat taat prokes mpls ptm,1
begini cara mengolah daging kurban cegah virus pmk,"['begini', 'cara', 'mengolah', 'daging', 'kurban', 'cegah', 'virus', 'pmk']","['mengolah', 'daging', 'kurban', 'cegah', 'virus', 'pmk']",olah daging kurban cegah virus pmk,1
jelang idul adha pemkot bandung telah periksa 8331 hewan,"['jelang', 'idul', 'adha', 'pemkot', 'bandung', 'telah', 'periksa', '8331', 'hewan']","['jelang', 'idul', 'adha', 'pemkot', 'periksa', '8331', 'hewan']",jelang idul adha pemkot periksa 8331 hewan,1
mencari audio tape berkualitas tinggi harga miring yuk kunjungi pasar cihapit,"['mencari', 'audio', 'tape', 'berkualitas', 'tinggi', 'harga', 'miring', 'yuk', 'kunjungi', 'pasar', 'cihapit']","['mencari', 'audio', 'tape', 'berkualitas', 'harga', 'miring', 'yuk', 'kunjungi', 'pasar', 'cihapit']",cari audio tape kualitas harga miring yuk kunjung pasar cihapit,0
jelang peringatan hari anak nasional kota bandung gelar sejumlah kegiatan,"['jelang', 'peringatan', 'hari', 'anak', 'nasional', 'kota', 'bandung', 'gelar', 'sejumlah', 'kegiatan']","['jelang', 'peringatan', 'anak', 'nasional', 'kota', 'gelar', 'kegiatan']",jelang ingat anak nasional kota gelar giat,0
cegah penyimpangan penyelenggara penggalangan dana harus akuntabel dan transparan,"['cegah', 'penyimpangan', 'penyelenggara', 'penggalangan', 'dana', 'harus', 'akuntabel', 'dan', 'transparan']","['cegah', 'penyimpangan', 'penyelenggara', 'penggalangan', 'dana', 'akuntabel', 'transparan']",cegah simpang selenggara galang dana akuntabel transparan,1
kuota belum terisi orang tua pilih datang ke sd secara langsung,"['kuota', 'belum', 'terisi', 'orang', 'tua', 'pilih', 'datang', 'ke', 'sd', 'secara', 'langsung']","['kuota', 'terisi', 'orang', 'tua', 'pilih', 'sd', 'langsung']",kuota isi orang tua pilih sd langsung,0
peringati harganas pencegahan stunting jadi perhatian,"['peringati', 'harganas', 'pencegahan', 'stunting', 'jadi', 'perhatian']","['peringati', 'harganas', 'pencegahan', 'stunting', 'perhatian']",ingat harganas cegah stunting perhati,1
uncle chen bakmie nikmat yang tersembunyi di pasar gempol,"['uncle', 'chen', 'bakmie', 'nikmat', 'yang', 'tersembunyi', 'di', 'pasar', 'gempol']","['uncle', 'chen', 'bakmie', 'nikmat', 'tersembunyi', 'pasar', 'gempol']",uncle chen bakmie nikmat sembunyi pasar gempol,0
humas kota bandung gelar podcast di pasar kreatif tsm,"['humas', 'kota', 'bandung', 'gelar', 'podcast', 'di', 'pasar', 'kreatif', 'tsm']","['humas', 'kota', 'gelar', 'podcast', 'pasar', 'kreatif', 'tsm']",humas kota gelar podcast pasar kreatif tsm,1
pmk masih mewabah pembagian daging hewan kurban dianjurkan menggunakan plastik,"['pmk', 'masih', 'mewabah', 'pembagian', 'daging', 'hewan', 'kurban', 'dianjurkan', 'menggunakan', 'plastik']","['pmk', 'mewabah', 'pembagian', 'daging', 'hewan', 'kurban', 'dianjurkan', 'plastik']",pmk wabah bagi daging hewan kurban anjur plastik,2
menilik sejarah villa isola bandung,"['menilik', 'sejarah', 'villa', 'isola', 'bandung']","['menilik', 'sejarah', 'villa', 'isola']",tilik sejarah villa isola,0
bukan fogging ini cara efektif paling utama berantas dbd,"['bukan', 'fogging', 'ini', 'cara', 'efektif', 'paling', 'utama', 'berantas', 'dbd']","['fogging', 'efektif', 'utama', 'berantas', 'dbd']",fogging efektif utama berantas dbd,1
yana pastikan akan terus tingkatkan indeks kesehatan kota bandung,"['yana', 'pastikan', 'akan', 'terus', 'tingkatkan', 'indeks', 'kesehatan', 'kota', 'bandung']","['yana', 'pastikan', 'tingkatkan', 'indeks', 'kesehatan', 'kota']",yana pasti tingkat indeks sehat kota,1
the panturas bakal gelar showcase di tiga kota bertajuk wahana ombak banyu asmara,"['the', 'panturas', 'bakal', 'gelar', 'showcase', 'di', 'tiga', 'kota', 'bertajuk', 'wahana', 'ombak', 'banyu', 'asmara']","['the', 'panturas', 'gelar', 'showcase', 'kota', 'bertajuk', 'wahana', 'ombak', 'banyu', 'asmara']",the panturas gelar showcase kota tajuk wahana ombak banyu asmara,1
dari dewa 19 hingga kangen band bakal tampil di playlist live festival 2 laswi city heritage 17-18 september,"['dari', 'dewa', '19', 'hingga', 'kangen', 'band', 'bakal', 'tampil', 'di', 'playlist', 'live', 'festival', '2', 'laswi', 'city', 'heritage', '17', '-', '18', 'september']","['dewa', '19', 'kangen', 'band', 'tampil', 'playlist', 'live', 'festival', '2', 'laswi', 'city', 'heritage', '17', '-', '18', 'september']",dewa 19 kangen band tampil playlist live festival 2 laswi city heritage 17 - 18 september,0
jadwal nonton film ivanna di cgv bandung tayang 16 juli 2022 lengkap dengan harga tiket,"['jadwal', 'nonton', 'film', 'ivanna', 'di', 'cgv', 'bandung', 'tayang', '16', 'juli', '2022', 'lengkap', 'dengan', 'harga', 'tiket']","['jadwal', 'nonton', 'film', 'ivanna', 'cgv', 'tayang', '16', 'juli', '2022', 'lengkap', 'harga', 'tiket']",jadwal nonton film ivanna cgv tayang 16 juli 2022 lengkap harga tiket,0
contoh kesan dan pesan saat mengikuti mpls di smp sma dan smk cocok diberikan ke panitia osis,"['contoh', 'kesan', 'dan', 'pesan', 'saat', 'mengikuti', 'mpls', 'di', 'smp', 'sma', 'dan', 'smk', 'cocok', 'diberikan', 'ke', 'panitia', 'osis']","['contoh', 'kesan', 'pesan', 'mengikuti', 'mpls', 'smp', 'sma', 'smk', 'cocok', 'panitia', 'osis']",contoh kesan pesan ikut mpls smp sma smk cocok panitia osis,0
rekrutmen pppk 2022 segera dibuka ini persyaratan yang harus dilengkapi,"['rekrutmen', 'pppk', '2022', 'segera', 'dibuka', 'ini', 'persyaratan', 'yang', 'harus', 'dilengkapi']","['rekrutmen', 'pppk', '2022', 'dibuka', 'persyaratan', 'dilengkapi']",rekrutmen pppk 2022 buka syarat lengkap,0
kumpulan quotes mpls 2022 lucu dan unik cocok dibagikan di sosial media dari intagram hingga tiktok,"['kumpulan', 'quotes', 'mpls', '2022', 'lucu', 'dan', 'unik', 'cocok', 'dibagikan', 'di', 'sosial', 'media', 'dari', 'intagram', 'hingga', 'tiktok']","['kumpulan', 'quotes', 'mpls', '2022', 'lucu', 'unik', 'cocok', 'dibagikan', 'sosial', 'media', 'intagram', 'tiktok']",kumpul quotes mpls 2022 lucu unik cocok bagi sosial media intagram tiktok,0
kumpulan contoh surat yang ditunjukan untuk kakak kelas osis dan panitia mpls,"['kumpulan', 'contoh', 'surat', 'yang', 'ditunjukan', 'untuk', 'kakak', 'kelas', 'osis', 'dan', 'panitia', 'mpls']","['kumpulan', 'contoh', 'surat', 'ditunjukan', 'kakak', 'kelas', 'osis', 'panitia', 'mpls']",kumpul contoh surat tunjuk kakak kelas osis panitia mpls,0
jadwal nonton film ivanna di cgv dan xxi bekasi 14 juli 2022 lengkap dengan harga tiket,"['jadwal', 'nonton', 'film', 'ivanna', 'di', 'cgv', 'dan', 'xxi', 'bekasi', '14', 'juli', '2022', 'lengkap', 'dengan', 'harga', 'tiket']","['jadwal', 'nonton', 'film', 'ivanna', 'cgv', 'xxi', 'bekasi', '14', 'juli', '2022', 'lengkap', 'harga', 'tiket']",jadwal nonton film ivanna cgv xxi bekas 14 juli 2022 lengkap harga tiket,0
link download materi lengkap mpls tema pembinaan mental agama di sekolah,"['link', 'download', 'materi', 'lengkap', 'mpls', 'tema', 'pembinaan', 'mental', 'agama', 'di', 'sekolah']","['link', 'download', 'materi', 'lengkap', 'mpls', 'tema', 'pembinaan', 'mental', 'agama', 'sekolah']",link download materi lengkap mpls tema bina mental agama sekolah,0
